z_m,O2_M,Fe2_M,Fe3_M,SO4_M,H_M,pH
0.0,0.00026283052,0.00012401755,7.069504e-05,0.004396058,0.006559474,2.183131
0.025125628,0.00026404916,0.0001403798,7.069349e-05,0.0044128415,0.0065627024,2.1829174
0.050251257,0.0002667725,0.0001563833,7.069923e-05,0.004429533,0.006565239,2.1827495
0.07537688,0.0002702012,0.00017169864,7.070771e-05,0.0044455593,0.0065675685,2.1825955
0.10050251,0.00027303843,0.00018617006,7.071539e-05,0.004460702,0.006569876,2.182443
0.12562814,0.0002734648,0.00019975852,7.072052e-05,0.004474935,0.0065721767,2.1822908
0.15075377,0.0002692134,0.00021247941,7.072322e-05,0.004488289,0.0065744263,2.182142
0.1758794,0.00025788657,0.0002243567,7.072482e-05,0.004500784,0.006576571,2.1820004
0.20100503,0.00023764184,0.00023539891,7.072688e-05,0.004512407,0.006578573,2.1818683
0.22613065,0.00020818392,0.00024559436,7.073021e-05,0.0045231325,0.006580407,2.1817472
0.2512563,0.00017161274,0.00025491792,7.0734655e-05,0.00453294,0.0065820715,2.1816373
0.2763819,0.00013235048,0.0002633416,7.07394e-05,0.004541829,0.0065835905,2.1815372
0.30150753,9.566998e-05,0.00027084514,7.0743714e-05,0.0045498,0.006584996,2.1814444
0.32663316,6.552391e-05,0.00027742615,7.074737e-05,0.0045568603,0.0065863198,2.1813571
0.3517588,4.3279644e-05,0.00028310696,7.0750575e-05,0.0045630354,0.006587576,2.1812744
0.37688443,2.8121576e-05,0.00028793846,7.075376e-05,0.00456837,0.0065887626,2.1811962
0.40201005,1.8291421e-05,0.0002919969,7.075725e-05,0.00457295,0.0065898746,2.1811228
0.42713568,1.2063364e-05,0.00029537646,7.0761125e-05,0.00457687,0.0065909047,2.181055
0.4522613,8.131639e-06,0.000298178,7.076535e-05,0.0045802374,0.0065918616,2.180992
0.47738695,5.6256604e-06,0.00030049987,7.076976e-05,0.0045831446,0.006592755,2.180933
0.5025126,4.0002133e-06,0.00030243103,7.07742e-05,0.004585674,0.0065936,2.1808774
0.5276382,2.922807e-06,0.0003040477,7.0778566e-05,0.004587888,0.0065944092,2.180824
0.5527638,2.1917715e-06,0.00030541234,7.0782764e-05,0.0045898426,0.0065951953,2.1807723
0.57788944,1.6839386e-06,0.00030657498,7.0786766e-05,0.004591581,0.006595965,2.1807218
0.60301507,1.3230089e-06,0.00030757464,7.079061e-05,0.0045931404,0.0065967217,2.180672
0.6281407,1.0608743e-06,0.0003084417,7.07943e-05,0.0045945523,0.0065974677,2.1806228
0.6532663,8.666036e-07,0.00030919944,7.0797905e-05,0.0045958436,0.006598205,2.1805742
0.678392,7.1990394e-07,0.0003098659,7.080146e-05,0.0045970385,0.006598929,2.1805265
0.7035176,6.0719685e-07,0.0003104551,7.0805014e-05,0.0045981556,0.0065996437,2.1804795
0.72864324,5.1922297e-07,0.00031097815,7.080858e-05,0.004599209,0.006600344,2.1804335
0.75376886,4.495463e-07,0.00031144358,7.08122e-05,0.004600213,0.0066010333,2.180388
0.7788945,3.936211e-07,0.00031185863,7.081591e-05,0.004601176,0.006601708,2.1803436
0.8040201,3.4818152e-07,0.0003122291,7.081969e-05,0.004602106,0.0066023692,2.1803002
0.8291457,3.108445e-07,0.0003125597,7.0823575e-05,0.004603008,0.0066030156,2.1802576
0.85427135,2.798476e-07,0.00031285465,7.082753e-05,0.004603886,0.0066036484,2.180216
0.879397,2.5386967e-07,0.00031311734,7.083159e-05,0.0046047433,0.0066042654,2.1801755
0.9045226,2.3190753e-07,0.0003133509,7.083572e-05,0.0046055824,0.0066048703,2.1801357
0.9296482,2.1319103e-07,0.00031355786,7.083993e-05,0.0046064034,0.00660546,2.1800969
0.9547739,1.9712135e-07,0.00031374066,7.084417e-05,0.004607209,0.0066060387,2.180059
0.9798995,1.8322955e-07,0.00031390143,7.084847e-05,0.0046079983,0.0066066044,2.1800218
1.0050251,1.7114425e-07,0.00031404186,7.08528e-05,0.0046087727,0.0066071567,2.1799853
1.0301508,1.605683e-07,0.00031416383,7.085714e-05,0.0046095336,0.0066076987,2.1799498
1.0552764,1.5126237e-07,0.0003142688,7.086149e-05,0.0046102763,0.0066082287,2.179915
1.080402,1.4303248e-07,0.00031435816,7.0865826e-05,0.004611005,0.006608746,2.1798809
1.1055276,1.357197e-07,0.00031443316,7.087016e-05,0.00461172,0.0066092545,2.1798475
1.1306533,1.291931e-07,0.00031449494,7.087446e-05,0.004612419,0.0066097514,2.1798148
1.1557789,1.2334385e-07,0.0003145446,7.0878734e-05,0.0046131024,0.0066102394,2.1797829
1.1809045,1.18081516e-07,0.00031458307,7.0882954e-05,0.004613772,0.0066107176,2.1797514
1.2060301,1.1333029e-07,0.00031461127,7.088714e-05,0.0046144277,0.0066111856,2.1797206
1.2311558,1.0902563e-07,0.00031463,7.089125e-05,0.0046150694,0.0066116457,2.1796904
1.2562814,1.05113514e-07,0.0003146399,7.08953e-05,0.004615695,0.0066120964,2.1796608
1.281407,1.0154692e-07,0.0003146419,7.08993e-05,0.004616308,0.006612538,2.1796317
1.3065326,9.828651e-08,0.00031463645,7.0903225e-05,0.0046169073,0.0066129714,2.1796033
1.3316582,9.529811e-08,0.00031462417,7.090708e-05,0.004617493,0.006613397,2.1795754
1.356784,9.255196e-08,0.00031460574,7.091086e-05,0.0046180654,0.006613815,2.179548
1.3819096,9.00225e-08,0.0003145814,7.091456e-05,0.004618625,0.006614226,2.179521
1.4070352,8.7687326e-08,0.00031455178,7.091819e-05,0.0046191732,0.0066146296,2.1794944
1.4321609,8.5527056e-08,0.00031451735,7.092175e-05,0.004619708,0.0066150255,2.1794684
1.4572865,8.3524604e-08,0.00031447835,7.092521e-05,0.0046202317,0.006615414,2.179443
1.4824121,8.166451e-08,0.00031443528,7.092861e-05,0.0046207444,0.0066157975,2.1794178
1.5075377,7.9933756e-08,0.0003143884,7.093192e-05,0.0046212464,0.0066161742,2.179393
1.5326633,7.832072e-08,0.0003143379,7.0935166e-05,0.0046217376,0.0066165444,2.1793687
1.557789,7.68147e-08,0.00031428438,7.093833e-05,0.0046222196,0.0066169086,2.179345
1.5829146,7.540633e-08,0.00031422783,7.0941416e-05,0.0046226913,0.0066172676,2.1793213
1.6080402,7.408763e-08,0.00031416854,7.0944436e-05,0.004623155,0.0066176224,2.179298
1.6331658,7.285066e-08,0.00031410687,7.094737e-05,0.0046236077,0.0066179703,2.1792753
1.6582915,7.168914e-08,0.0003140429,7.095024e-05,0.004624054,0.0066183135,2.1792526
1.6834171,7.059696e-08,0.00031397684,7.0953036e-05,0.004624491,0.006618652,2.1792305
1.7085427,6.956849e-08,0.00031390894,7.095578e-05,0.004624921,0.006618986,2.1792085
1.7336683,6.859914e-08,0.00031383926,7.095845e-05,0.0046253433,0.0066193156,2.1791868
1.758794,6.7684276e-08,0.0003137681,7.0961054e-05,0.0046257577,0.0066196406,2.1791656
1.7839196,6.6820014e-08,0.00031369537,7.0963586e-05,0.004626167,0.0066199624,2.1791444
1.8090452,6.6002585e-08,0.00031362145,7.096607e-05,0.00462657,0.00662028,2.1791236
1.8341708,6.522874e-08,0.00031354636,7.09685e-05,0.0046269656,0.0066205934,2.1791031
1.8592964,6.449526e-08,0.00031347008,7.097085e-05,0.004627356,0.006620904,2.1790826
1.8844222,6.379953e-08,0.000313393,7.097316e-05,0.004627741,0.0066212104,2.1790626
1.9095478,6.313912e-08,0.000313315,7.097542e-05,0.004628122,0.006621515,2.1790426
1.9346734,6.251152e-08,0.00031323623,7.097762e-05,0.0046284962,0.006621816,2.1790228
1.959799,6.191465e-08,0.00031315675,7.0979775e-05,0.004628867,0.006622114,2.1790032
1.9849247,6.134659e-08,0.00031307663,7.098188e-05,0.0046292334,0.0066224085,2.178984
2.0100503,6.080542e-08,0.00031299604,7.098394e-05,0.0046295957,0.006622701,2.1789649
2.0351758,6.028955e-08,0.00031291493,7.098594e-05,0.0046299538,0.00662299,2.1789458
2.0603015,5.9797436e-08,0.0003128335,7.098792e-05,0.004630308,0.0066232774,2.178927
2.085427,5.9327608e-08,0.00031275168,7.098984e-05,0.0046306592,0.006623563,2.1789083
2.1105528,5.8878822e-08,0.00031266955,7.099173e-05,0.004631007,0.006623845,2.1788898
2.1356783,5.8449807e-08,0.00031258722,7.099357e-05,0.004631352,0.006624126,2.1788714
2.160804,5.803947e-08,0.00031250462,7.0995375e-05,0.004631694,0.006624404,2.1788533
2.1859298,5.7646634e-08,0.0003124219,7.099715e-05,0.0046320325,0.0066246805,2.1788352
2.2110553,5.7270437e-08,0.0003123391,7.099889e-05,0.0046323687,0.0066249548,2.178817
2.236181,5.6909826e-08,0.00031225622,7.100059e-05,0.0046327026,0.006625227,2.1787992
2.2613065,5.656432e-08,0.00031217327,7.1002265e-05,0.0046330346,0.0066254977,2.1787815
2.2864323,5.6232608e-08,0.0003120904,7.100391e-05,0.0046333624,0.006625766,2.1787639
2.3115578,5.5914242e-08,0.00031200756,7.100551e-05,0.0046336898,0.0066260323,2.1787465
2.3366835,5.56086e-08,0.00031192478,7.100709e-05,0.0046340143,0.0066262977,2.178729
2.361809,5.5314867e-08,0.00031184204,7.100864e-05,0.004634337,0.00662656,2.178712
2.3869348,5.5032388e-08,0.00031175948,7.1010174e-05,0.004634658,0.0066268216,2.1786947
2.4120603,5.4760854e-08,0.00031167697,7.101167e-05,0.004634977,0.006627081,2.1786778
