step,L_total,L_pde,L_hen,L_bc,L_en,henry_rel_err,O2_surf_M,EN_p95,lr,grad_norm
0,2.1738765239715576,752.88671875,0.09836544841527939,5.3134597692405805e-05,9.932345390319824,0.03435397893190384,0.0002758621994871646,0.0035166488960385323,9.999999753259892e-05,17.5380802154541
1,2.4848265647888184,745.9158325195312,0.10981559753417969,5.5077583965612575e-05,7.883296966552734,0.10378489643335342,0.00023902056273072958,0.003203826490789652,9.999999013039593e-05,23.392269134521484
2,2.4272048473358154,746.3967895507812,0.10770628601312637,5.46068258699961e-05,8.161186218261719,0.09362109005451202,0.00024173124984372407,0.0032368083484470844,9.999997779339173e-05,21.103124618530273
3,2.1989529132843018,749.1410522460938,0.09931757301092148,5.362346928450279e-05,9.072724342346191,0.04117171838879585,0.00025571949663572013,0.0033666263334453106,9.99999605215876e-05,15.013227462768555
4,2.1601860523223877,752.5917358398438,0.09790081530809402,5.24103561474476e-05,10.327839851379395,0.03130653500556946,0.00027504944591782987,0.003538948018103838,9.999993831498517e-05,17.509418487548828
5,2.2483036518096924,753.5607299804688,0.1011538952589035,5.1759296184172854e-05,10.901266098022461,0.05431165546178818,0.0002811849117279053,0.0036098151467740536,9.999991117358668e-05,15.637279510498047
6,2.217555046081543,753.1347045898438,0.10003222525119781,5.1488124881871045e-05,11.021583557128906,0.04621801897883415,0.00027902633883059025,0.0036189951933920383,9.99998790973948e-05,14.88510799407959
7,2.085331439971924,751.7764892578125,0.09517470002174377,5.1446633733576164e-05,10.842753410339355,0.018276048824191093,0.0002715742157306522,0.003588354215025902,9.99998420864127e-05,31.714420318603516
8,2.1144859790802,749.6905517578125,0.09625730663537979,5.153259189683013e-05,10.462211608886719,0.022603757679462433,0.0002606715715955943,0.0035301055759191513,9.999980014064402e-05,22.65431022644043
9,2.184312582015991,748.8643798828125,0.09883760660886765,5.150531433173455e-05,10.356698989868164,0.03776688501238823,0.0002566275652498007,0.0035096118226647377,9.999975326009292e-05,14.121450424194336
10,2.1708338260650635,749.0257568359375,0.09835091978311539,5.140428402228281e-05,10.457422256469727,0.034418363124132156,0.00025752061628736556,0.003518288489431143,9.999970144476398e-05,14.644647598266602
11,2.0717153549194336,749.928466796875,0.09471029043197632,5.124451854499057e-05,10.72509765625,0.016999714076519012,0.0002621661697048694,0.003550618886947632,9.999964469466236e-05,33.603885650634766
12,2.0050318241119385,751.364501953125,0.09226324409246445,5.1034348871326074e-05,11.134807586669922,0.011637058109045029,0.00026980359689332545,0.003602629527449608,9.999958300979366e-05,63.7398681640625
13,2.115528106689453,751.9011840820312,0.0963415801525116,5.08992925460916e-05,11.326592445373535,0.022799091413617134,0.0002727805112954229,0.003624490462243557,9.999951639016395e-05,21.923423767089844
14,2.0955350399017334,751.7506103515625,0.09561365097761154,5.0831666158046573e-05,11.334514617919922,0.019811011850833893,0.00027198359020985663,0.0036213602870702744,9.999944483577981e-05,26.424213409423828
15,1.7910765409469604,751.034423828125,0.08440543711185455,5.081983545096591e-05,11.189979553222656,0.005369313061237335,0.0002681319892872125,0.003597445320338011,9.99993683466483e-05,237.20486450195312
16,2.0821239948272705,749.8214111328125,0.09513568878173828,5.085037264507264e-05,10.921735763549805,0.018310096114873886,0.00026181669090874493,0.003556305542588234,9.999928692277696e-05,28.926597595214844
17,2.139615774154663,749.3258666992188,0.09726174920797348,5.0836315494962037e-05,10.827641487121582,0.027653878554701805,0.00025932470452971756,0.0035396553575992584,9.999920056417385e-05,16.703704833984375
18,2.1270833015441895,749.4515380859375,0.0968080684542656,5.078587491880171e-05,10.878314018249512,0.025221792981028557,0.0002599733415991068,0.0035437182523310184,9.999910927084749e-05,18.389240264892578
19,2.021432399749756,750.0951538085938,0.09292279183864594,5.070336192147806e-05,11.054356575012207,0.012863959185779095,0.00026326917577534914,0.0035657365806400776,9.999901304280687e-05,51.16791915893555
20,1.9164602756500244,751.154541015625,0.08906153589487076,5.059208706370555e-05,11.34212875366211,0.00804442074149847,0.00026884544058702886,0.003603543620556593,9.99989118800615e-05,116.08027648925781
21,2.0671451091766357,751.5770263671875,0.09462248533964157,5.052156848250888e-05,11.470189094543457,0.016599223017692566,0.00027112700627185404,0.0036187907680869102,9.999880578262136e-05,33.50300979614258
22,2.0445778369903564,751.47509765625,0.09379778057336807,5.048929597251117e-05,11.457318305969238,0.014515576884150505,0.00027057129773311317,0.0036143548786640167,9.999869475049693e-05,41.57186508178711
23,1.5884761810302734,750.9193725585938,0.07699063420295715,5.049083847552538e-05,11.322507858276367,0.003324078628793359,0.0002675865252967924,0.0035928385332226753,9.999857878369916e-05,494.7312316894531
24,2.0551021099090576,749.95166015625,0.09419907629489899,5.052036067354493e-05,11.084491729736328,0.015608797781169415,0.0002625371271278709,0.003556624986231327,9.99984578822395e-05,36.17304611206055
25,2.114515781402588,749.552978515625,0.09639600664377213,5.051689367974177e-05,10.993481636047363,0.023224245756864548,0.0002605060872156173,0.003541362937539816,9.999833204612988e-05,19.833839416503906
26,2.101306915283203,749.6622924804688,0.09591587632894516,5.0484715757193044e-05,11.02872085571289,0.02115020342171192,0.000261059234617278,0.0035443203523755074,9.999820127538271e-05,22.443424224853516
27,1.980932593345642,750.2099609375,0.0914841890335083,5.042695192969404e-05,11.17523193359375,0.010635283775627613,0.000263863563304767,0.0035633277148008347,9.999806557001093e-05,69.32251739501953
28,1.8894370794296265,751.123291015625,0.08811651170253754,5.0346541684120893e-05,11.421646118164062,0.007338814437389374,0.0002686572552192956,0.003596564754843712,9.99979249300279e-05,132.5616912841797
29,2.046914577484131,751.4961547851562,0.09393012523651123,5.029849489801563e-05,11.528998374938965,0.014823093079030514,0.00027065331232734025,0.0036099180579185486,9.99977793554475e-05,39.30134201049805
30,2.0241222381591797,751.4113159179688,0.09309566766023636,5.028056330047548e-05,11.51205825805664,0.013067587278783321,0.00027018511900678277,0.0036056782118976116,9.999762884628413e-05,48.469970703125
31,1.5737228393554688,750.9224853515625,0.07648873329162598,5.0289549108128995e-05,11.385868072509766,0.0032328495290130377,0.00026756219449453056,0.0035859383642673492,9.999747340255259e-05,504.4969177246094
32,2.0297722816467285,750.0629272460938,0.09331557154655457,5.032144326833077e-05,11.16545581817627,0.01361212506890297,0.0002630696399137378,0.0035526403225958347,9.999731302426829e-05,44.5521240234375
33,2.0952420234680176,749.7073974609375,0.09573617577552795,5.032492845202796e-05,11.078286170959473,0.02043772116303444,0.00026124925352633,0.003538429271429777,9.999714771144701e-05,23.141237258911133
34,2.0807292461395264,749.8081665039062,0.0952068343758583,5.030324246035889e-05,11.107145309448242,0.01853816956281662,0.00026175586390309036,0.0035410206764936447,9.999697746410508e-05,26.71808433532715
35,1.9387770891189575,750.3082275390625,0.08997592329978943,5.0259150157216936e-05,11.238883972167969,0.008935541845858097,0.0002643168845679611,0.003558492287993431,9.99968022822593e-05,92.25321960449219
36,1.8960027694702148,751.1460571289062,0.08840332180261612,5.019545278628357e-05,11.463021278381348,0.00754353404045105,0.00026871185400523245,0.0035891756415367126,9.999662216592697e-05,124.02037048339844
37,2.0413284301757812,751.4918823242188,0.09377077221870422,5.015974966227077e-05,11.559232711791992,0.014461013488471508,0.0002705567458178848,0.003601464908570051,9.999643711512586e-05,40.207275390625
38,2.02006196975708,751.4155883789062,0.09299157559871674,5.014976704842411e-05,11.540767669677734,0.012876180931925774,0.00027013407088816166,0.003597421105951071,9.999624712987422e-05,48.82583236694336
39,1.646548867225647,750.963623046875,0.07921341061592102,5.016277646063827e-05,11.420953750610352,0.003787317546084523,0.0002677100710570812,0.0035789059475064278,9.999605221019082e-05,387.94622802734375
40,2.002223253250122,750.1649169921875,0.09234369546175003,5.0195481890114024e-05,11.213013648986816,0.011872551403939724,0.00026353358407504857,0.003547648899257183,9.999585235609488e-05,55.45933532714844
41,2.0771963596343994,749.8345947265625,0.09511561691761017,5.0203172577312216e-05,11.128914833068848,0.01823600009083748,0.00026183645240962505,0.0035341791808605194,9.999564756760615e-05,27.009737014770508
42,2.0607826709747314,749.93017578125,0.09451526403427124,5.018853335059248e-05,11.153361320495605,0.016438154503703117,0.00026231593801639974,0.003536454401910305,9.999543784474483e-05,31.804784774780273
